ID	类型ID	父任务ID	章节ID	优先级
1	1			1
2	2		2003	1
3	2		2005	2
4	2		1105	3
5	2		2021	4
6	2		2022	5
7	3	20031		1
8	3	20505		2
9	3	20506		3
10	3	70650		4
11	3	70651		5
12	3	22111		6
13	3	71650		7
14	3	11008		8
15	3	70661		9
16	3	72657		10
17	3	71654		11
18	3	71655		12
19	3	72183		13
21	3	73673		15
22	4	72233		1
23	4		10051	2
24	5		2020	1
25	5		2027	2
26	7		2013	1
27	7		2014	2
28	7		2023	3
29	7		2001	4
30	7		2002	5
31	7		2004	6
32	7		2006	7
33	7		2007	8
34	7		2008	9
35	7		2009	10
36	7		2010	11
37	7		2011	12
38	7		2012	13
39	7		2016	14
40	7		2017	15
41	7		2018	16
42	7		2019	17
43	7		2024	18
44	7		2025	19
45	7		2026	20
46	7		2028	21
47	7		2029	22
48	7		2031	23
49	7		2030	24
50	7		2032	25
51	7		2033	26
53	8	71811		1
54	8	71812		2
55	8	72672		3
56	8	41402		4
57	9	70141		1
58	9		10061	2
59	9		10031	3
60	9		10032	4
61	9		10055	5
62	9		10025	6
63	9		10036	7
64	9		10037	8
65	9		10044	9
66	9		10070	10
67	9		10073	11
68	9		10076	12
69	9		10079	13
70	9		10069	14
71	9		10072	15
72	9		10083	16
73	9		10087	17
74	10		101401	1
75	10		103401	2
76	10		103601	3
77	10		103201	4
78	10		103402	5
79	10		103901	6
80	10		102401	7
81	10		105001	8
82	10		105301	9
83	10		105501	10
84	10		106401	11
85	10		102701	12
86	10		106501	13
87	10		105901	14
